date,search_index,brand_ko,brand
2022-01-03,10.12279,롬앤,romand
2022-01-10,10.59199,롬앤,romand
2022-01-17,11.49582,롬앤,romand
2022-01-24,14.63042,롬앤,romand
2022-01-31,16.68996,롬앤,romand
2022-02-07,11.60736,롬앤,romand
2022-02-14,10.46841,롬앤,romand
2022-02-21,10.2181,롬앤,romand
2022-02-28,9.43733,롬앤,romand
2022-03-07,8.44133,롬앤,romand
2022-03-14,13.14062,롬앤,romand
2022-03-21,9.73529,롬앤,romand
2022-03-28,9.3682,롬앤,romand
2022-04-04,8.21616,롬앤,romand
2022-04-11,7.99465,롬앤,romand
2022-04-18,7.31809,롬앤,romand
2022-04-25,7.27044,롬앤,romand
2022-05-02,8.28371,롬앤,romand
2022-05-09,8.43243,롬앤,romand
2022-05-16,7.7433,롬앤,romand
2022-05-23,7.20131,롬앤,romand
2022-05-30,7.60767,롬앤,romand
2022-06-06,7.28039,롬앤,romand
2022-06-13,6.35509,롬앤,romand
2022-06-20,7.01123,롬앤,romand
2022-06-27,12.71437,롬앤,romand
2022-07-04,10.30974,롬앤,romand
2022-07-11,8.18317,롬앤,romand
2022-07-18,7.51813,롬앤,romand
2022-07-25,7.33485,롬앤,romand
2022-08-01,7.79043,롬앤,romand
2022-08-08,7.82865,롬앤,romand
2022-08-15,7.98523,롬앤,romand
2022-08-22,10.0013,롬앤,romand
2022-08-29,9.15036,롬앤,romand
2022-09-05,7.93653,롬앤,romand
2022-09-12,11.11512,롬앤,romand
2022-09-19,8.23763,롬앤,romand
2022-09-26,9.00531,롬앤,romand
2022-10-03,9.72796,롬앤,romand
2022-10-10,7.85117,롬앤,romand
2022-10-17,7.12905,롬앤,romand
2022-10-24,6.40483,롬앤,romand
2022-10-31,7.32542,롬앤,romand
2022-11-07,7.66266,롬앤,romand
2022-11-14,19.41874,롬앤,romand
2022-11-21,45.13811,롬앤,romand
2022-11-28,18.8956,롬앤,romand
2022-12-05,12.00848,롬앤,romand
2022-12-12,11.69586,롬앤,romand
2022-12-19,19.00767,롬앤,romand
2022-12-26,8.48061,롬앤,romand
2023-01-02,9.67035,롬앤,romand
2023-01-09,9.90076,롬앤,romand
2023-01-16,10.37467,롬앤,romand
2023-01-23,16.95493,롬앤,romand
2023-01-30,13.09873,롬앤,romand
2023-02-06,11.14706,롬앤,romand
2023-02-13,10.98159,롬앤,romand
2023-02-20,10.20867,롬앤,romand
2023-02-27,11.16173,롬앤,romand
2023-03-06,9.1954,롬앤,romand
2023-03-13,9.91385,롬앤,romand
2023-03-20,11.11355,롬앤,romand
2023-03-27,13.07098,롬앤,romand
2023-04-03,10.73809,롬앤,romand
2023-04-10,11.31097,롬앤,romand
2023-04-17,9.54153,롬앤,romand
2023-04-24,8.49632,롬앤,romand
2023-05-01,9.11947,롬앤,romand
2023-05-08,8.04545,롬앤,romand
2023-05-15,8.04021,롬앤,romand
2023-05-22,8.32718,롬앤,romand
2023-05-29,13.14743,롬앤,romand
2023-06-05,12.68871,롬앤,romand
2023-06-12,9.18702,롬앤,romand
2023-06-19,9.73424,롬앤,romand
2023-06-26,28.04492,롬앤,romand
2023-07-03,19.58002,롬앤,romand
2023-07-10,10.68886,롬앤,romand
2023-07-17,8.20831,롬앤,romand
2023-07-24,7.89306,롬앤,romand
2023-07-31,9.23729,롬앤,romand
2023-08-07,9.264,롬앤,romand
2023-08-14,8.39525,롬앤,romand
2023-08-21,9.22682,롬앤,romand
2023-08-28,9.2996,롬앤,romand
2023-09-04,9.06396,롬앤,romand
2023-09-11,7.2762,롬앤,romand
2023-09-18,7.75587,롬앤,romand
2023-09-25,15.11062,롬앤,romand
2023-10-02,11.84719,롬앤,romand
2023-10-09,11.13135,롬앤,romand
2023-10-16,21.23059,롬앤,romand
2023-10-23,9.48079,롬앤,romand
2023-10-30,11.94983,롬앤,romand
2023-11-06,10.36158,롬앤,romand
2023-11-13,9.42476,롬앤,romand
2023-11-20,9.44728,롬앤,romand
2023-11-27,9.13675,롬앤,romand
